seed,rmse_joint,rmse_feat_only,max_irrelevant_1overGamma,lam_outlier_mean,lam_clean_mean
0,0.1360793347461648,0.9822010814768789,0.0065396511845703335,0.022881057270288288,6852304.253134572
1,0.1398243404210759,1.1259530932248698,0.006020309968657597,0.008198257880976348,8153180.497689386
2,0.09379924772246491,1.538687381510831,0.00276795529578304,2.921543698684971,11115633.358934082
3,0.2671790842361787,1.622911979660442,0.012439418712838057,0.054024640061620915,1651235.9223979558
4,0.16883056632975962,1.2896694155118016,0.012375523068589071,1.541556658093894,8432064.937067745
5,0.11940679501310768,1.016952304611168,0.0031277759053732887,0.03208178953214413,10606533.440083422
6,0.17777865731085815,1.7992910833973697,0.023239685043500827,0.026568338249881772,9000591.555344254
7,0.14958011476110478,2.6212179293025653,0.01965496303334722,5.634433624325349,8359975.008903846
8,0.30223963685852345,1.2238775589048951,0.01627665881140006,0.011393061179595484,8373278.641125281
9,0.09862500697069831,2.067728819184319,0.005879878377875507,0.03384005560376815,11113623.093386544
